unique_id,ds,y,AutoBiTCN,AutoTiDE,AutoNHITS
all_chargeability/family/F1,2024-08-01,14904.0,14935.590999603271,14911.63189983368,14954.612411499023
all_chargeability/family/F1,2024-09-01,14904.0,14917.348932266235,14906.96925163269,14903.52830991149
all_chargeability/family/F1,2024-10-01,14904.0,14911.56942987442,14906.179066181183,14898.931886196136
all_chargeability/family/F1,2024-11-01,14904.0,14898.216365814209,14901.609175920486,14899.458768367767
all_chargeability/family/F1,2024-12-01,14904.0,14899.551343917847,14903.612173378468,14903.640319287777
all_chargeability/family/F1,2025-01-01,14935.0,14899.439724445343,14904.100907474756,14908.650664806366
all_chargeability/family/F1,2025-02-01,14935.0,14941.93061542511,14936.942360758781,14974.11637878418
all_chargeability/family/F1,2025-03-01,14935.0,14941.536666870117,14937.583321094513,14944.844646453857
all_chargeability/family/F1,2025-04-01,15049.0,14941.068818569183,14937.09051823616,14936.86407673359
all_chargeability/family/F1,2025-05-01,15049.0,15074.587329864502,15053.185021877289,15102.855480194092
all_chargeability/family/F1,2025-06-01,15134.0,15066.138862609863,15053.68100643158,15058.612790107727
all_chargeability/family/F1,2025-07-01,15171.0,15157.63892173767,15139.345878124237,15175.251243591309
all_chargeability/family/F1,2025-08-01,15171.0,15193.152673721313,15175.080421924591,15212.200050354004
all_chargeability/family/F1,2025-09-01,15171.0,15180.357563018799,15173.159425258636,15167.874445199966
all_chargeability/family/F1,2025-10-01,15287.0,15164.88461446762,15170.392085552216,15167.371394634247
all_chargeability/family/F1,2025-11-01,15287.0,15310.299806594849,15289.90713262558,15364.674812316895
all_chargeability/family/F1,2025-12-01,15287.0,15298.651748657227,15291.164953708649,15299.283725738525
all_chargeability/family/F1,2026-01-01,15287.0,15291.271964073181,15290.459214925766,15296.55788230896
all_chargeability/family/F1,2026-02-01,15287.0,15287.1326905936,15287.88316309452,15290.19285440445
all_chargeability/family/F1,2026-03-01,15287.0,15288.48119521141,15287.191958546638,15290.475080490112
all_chargeability/family/F1,2026-04-01,15461.0,15281.98456287384,15285.091841936111,15280.265142917633
all_chargeability/family/F1,2026-05-01,15584.0,15490.355236053467,15467.11968946457,15530.007064819336
all_chargeability/family/F1,2026-06-01,15584.0,15631.066047668457,15595.775531768799,15701.023902893066
all_chargeability/family/F1,2026-07-01,15737.0,15613.132442474365,15593.491209030151,15605.106914520264
all_chargeability/family/F2A,2024-08-01,17120.0,17186.64430999756,17161.69916152954,17127.8876953125
all_chargeability/family/F2A,2024-09-01,17120.0,17129.355127334595,17120.53745651245,17107.614528656006
all_chargeability/family/F2A,2024-10-01,17127.0,17111.69069671631,17120.69711983204,17145.316688537598
all_chargeability/family/F2A,2024-11-01,17167.0,17134.999306201935,17125.270757317543,17172.88561630249
all_chargeability/family/F2A,2024-12-01,17167.0,17179.482922554016,17180.25176334381,17180.46167564392
all_chargeability/family/F2A,2025-01-01,17167.0,17168.30038690567,17171.077924728394,17150.423734664917
all_chargeability/family/F2A,2025-02-01,17167.0,17167.836351394653,17171.552627563477,17182.888050079346
all_chargeability/family/F2A,2025-03-01,17167.0,17171.36469745636,17173.58511543274,17171.694725990295
all_chargeability/family/F2A,2025-04-01,17167.0,17166.603675931692,17168.77820277214,17142.00366973877
